station,stationNumber
Washington Blvd & 7th St N,31032
20th & Bell St,31000
Independence Ave & L'Enfant Plaza SW/DOE,31633
20th St & Virginia Ave NW,31259
6th & S Ball St,31090
Utah St & 11th St N ,31049
Rolfe St & 9th St S,31075
Market Square / King St & Royal St,31042
Rockville Metro West,32047
Anacostia Metro,31801
Fenton St & New York Ave ,32001
Norfolk & Rugby Ave,32028
Carroll & Westmoreland Ave,32025
20th & Crystal Dr,31002
Georgia Ave and Fairmont St NW,31207
Good Hope & Naylor Rd SE,31700
S Glebe & Potomac Ave,31010
Fairfax Dr & Kenmore St,31040
Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014
19th St & Pennsylvania Ave NW,31100
Ripley & Bonifant St,32034
15th & K St NW,31254
Kennedy Center,31211
Union Market/6th St & Neal Pl NE,31517
S Oakland St & Columbia Pike,31058
Mount Vernon Ave & E Del Ray Ave,31086
Georgia Ave & Spring St,32035
19th & E Street NW,31206
Ballenger Ave & Dulaney St,31084
Hains Point/Buckeye & Ohio Dr SW,31273
Arlington Blvd & S George Mason Dr/NFATC,31078
Fessenden St & Wisconsin Ave NW,31309
Fenton St & Ellsworth Dr ,32036
Fairfax Village,31706
Duke St & John Carlyle St,31081
Montgomery Ave & Waverly St ,32003
Walter Reed Community Center / Walter Reed Dr & 16th St S,31054
E Montgomery Ave & Maryland Ave,32007
King Farm Blvd & Piccard Dr,32038
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068
Washington Blvd & Walter Reed Dr ,31073
Crabbs Branch Way & Calhoun Pl,32020
Long Bridge Park/Long Bridge Dr & 6th St S,31071
Henry St & Pendleton St,31046
47th & Elm St,32021
18th St & Rhode Island Ave NE,31510
Crabbs Branch Way & Redland Rd,32015
S George Mason Dr & Four Mile Run,31063
Piccard & W Gude Dr,32033
Shirlington Transit Center / S Quincy & Randolph St,31076
Montgomery College/W Campus Dr & Mannakee St,32023
S Walter Reed Dr & 8th St S,31096
Branch & Pennsylvania Ave SE,31701
East West Hwy & Blair Mill Rd,32019
Minnesota Ave Metro/DOES,31703
Monroe St & Monroe Pl,32017
S Kenmore & 24th St S,31061
Garland Ave & Walden Rd,32022
Shady Grove Hospital,32042
S Four Mile Run & Walter Reed Dr,31059
S Stafford & 34th St S,31064
Congress Heights Metro,31806
S George Mason Dr & 13th St S,31062
Randle Circle & Minnesota Ave SE,31702
Benning Branch Library,31705
Traville Gateway Dr & Gudelsky Dr,32005
Deanwood Rec Center,31711
Fleet St & Ritchie Pkwy,32032
Medical Center Dr & Key West Ave,32041
Fallsgrove Blvd & Fallsgrove Dr,32004
Alabama & MLK Ave SE,31800
Nannie Helen Burroughs Ave & 49th St NE,31710
8th & O St NW,31281
Broschart & Blackwell Rd,32030
Georgia & Missouri Ave NW,31411
Oklahoma Ave & D St NE,31712
New York Ave & Hecht Ave NE,31518
7th & F St NW / National Portrait Gallery,31232
16th & Irving St NW,31122
16th & R St NW,31282
King St Metro South,31048
Maryland Ave & E St NE,31640
Wisconsin Ave & Ingomar St NW,31317
Medical Center Metro ,32053
Lee Hwy & N Adams St,31030
Saint Asaph & Madison St,31097
Yuma St & Tenley Circle NW,31316
King St Metro North / Cameron St,31098
Lee Hwy & N Woodstock St,31900
Washington Blvd & N Frederick St,31901
Madison & N Henry St,31099
Key West Ave & Siesta Key Way,32052
Wilson Blvd & N Illinois St ,31902
Connecticut Ave & Chevy Chase Lake Dr,32051
Lee Hwy & N Nelson St,31092
Eads St & 15th St S,31000
Lyttonsville Rd & Lyttonsville Pl,32054
Woodmont Ave & Strathmore St,32055
14th & L St NW,31283
1st & O St NW,31519
South Capitol & Atlantic St SW,31811
18th & C St NW,31284
22nd & P ST NW,31285
East West Hwy & 16th St,32056
Royal & Wilkes St,31903
14th & Girard St NW,31123
10th St & L'Enfant Plaza SW,31287
11th & O St NW,31286
Connecticut Ave & Yuma St NW,31318
2nd St & Massachusetts Ave NE,31641
East Falls Church Metro/Sycamore St & 19th St N,31904
Commonwealth Ave & Oak St,31906
Commonwealth & E Monroe Ave,31913
Potomac Ave & Main Line Blvd,31910
Radford & Osage St,31908
4th St & Madison Dr NW,31288
17th St & Independence Ave SW,31290
Henry Bacon Dr & Lincoln Memorial Circle NW,31289
14th & Irving St NW,31124
33rd & Water St NW,31314
Powhatan St & Bashford Ln,31915
16th & K St NW,31291
Mount Vernon Ave & Bruce St,31912
Wilson Blvd & N Quincy St,31039
Franklin & S Washington St,31907
Potomac & Swann Ave,31916
Lee Center,31914
New Jersey Ave & L St NW,31642
Lee Hwy & N Monroe St,31092
Mount Vernon Ave & Four Mile Run Park,31909
Division Ave & Foote St NE,31713
1st & D St SE,31643
Wisconsin Ave & Brandywine St NW,31319
Kennebec St & 11th St N,31905
24th & R St NE / National Arboretum,31520
