year,month,day,year,index,max_temp,min_temp,wind_speed,wind_temp,rain,hum,visibility,clouds,chaleur_index,rosee,pressure,sunrise,sunset,holiday,weekday,workday,avg_temp,string_date,atemp,wkday,casual,registered,cnt,wkday_sin,wkday_cos,sunrise_sin,sunrise_cos,sunset_sin,sunset_cos,mnth_sin,mnth_cos,light,missing_rain,mean_rain
2014,12,5,2014,2014-12-05,8.0,4.0,2.7777777777777777,3.0,4.0,0.88,8.125,80.0,8.0,6.0,1034.0,7.0,16.0,0.0,4.0,1.0,6.0,2014/12/05,6.261349480364384,4,279,5754,6033,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,6,2014,2014-12-06,12.0,6.0,4.166666666666667,4.0,12.0,0.97,4.5,78.0,9.0,9.0,1026.0,7.0,16.0,0.0,5.0,1.0,9.0,2014/12/06,8.910831546342756,5,287,2417,2704,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,7,2014,2014-12-07,5.0,0.0,8.333333333333334,-7.0,1.0,0.8,10.0,15.0,5.0,1.0,1036.0,7.0,16.0,0.0,6.0,0.0,2.5,2014/12/07,0.10319644343656352,6,703,4611,5314,-0.7818314824680299,0.6234898018587334,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,8,2014,2014-12-08,4.0,0.0,4.166666666666667,-5.0,1.0,0.67,10.0,67.0,4.0,2.0,1036.0,7.0,16.0,0.0,0.0,0.0,2.0,2014/12/08,1.0728860175180834,0,263,5809,6072,0.0,1.0,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,9,2014,2014-12-09,5.0,3.0,7.222222222222222,-2.0,25.0,0.96,6.0,95.0,5.0,4.0,1023.0,7.0,16.0,0.0,1.0,1.0,4.0,2014/12/09,2.1813250314326726,1,75,3245,3320,0.7818314824680298,0.6234898018587336,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,10,2014,2014-12-10,6.0,2.0,9.444444444444443,-4.0,1.0,0.88,9.375,60.0,6.0,2.0,1011.0,7.0,16.0,0.0,2.0,1.0,4.0,2014/12/10,1.5925628315614486,2,261,6488,6749,0.9749279121818236,-0.22252093395631434,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,11,2014,2014-12-11,5.0,0.0,8.055555555555555,-6.0,1.0,0.7,10.0,37.0,5.0,0.0,1015.0,7.0,16.0,0.0,3.0,1.0,2.5,2014/12/11,0.1820167795380314,3,293,6084,6377,0.43388373911755823,-0.900968867902419,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,12,2014,2014-12-12,6.0,-1.0,7.777777777777778,-6.0,0.0,0.65,10.0,39.0,6.0,0.0,1020.0,7.0,16.0,0.0,4.0,1.0,2.5,2014/12/12,0.2631542359658421,4,446,6387,6833,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,13,2014,2014-12-13,7.0,0.0,5.833333333333332,-4.0,4.076923076923077,0.78,10.0,25.0,7.0,0.0,1021.0,7.0,16.0,0.0,5.0,1.0,3.5,2014/12/13,2.0586900985098167,5,738,4941,5679,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,True,4.076923076923077
2014,12,14,2014,2014-12-14,9.0,1.0,6.3888888888888875,-3.0,4.076923076923077,0.89,10.0,44.0,9.0,4.0,1018.0,7.0,16.0,0.0,6.0,0.0,5.0,2014/12/14,3.597073856578326,6,755,4556,5311,-0.7818314824680299,0.6234898018587334,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,True,4.076923076923077
2014,12,15,2014,2014-12-15,12.0,3.0,2.7777777777777777,1.0,0.0,0.93,10.0,12.0,12.0,9.0,1020.0,7.0,16.0,0.0,0.0,0.0,7.5,2014/12/15,7.893967086476416,0,555,7152,7707,0.0,1.0,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,16,2014,2014-12-16,9.0,6.0,4.722222222222221,3.0,4.0,0.97,5.5,62.0,9.0,8.0,1018.0,7.0,16.0,0.0,1.0,1.0,7.5,2014/12/16,7.017867141529219,1,212,5796,6008,0.7818314824680298,0.6234898018587336,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,17,2014,2014-12-17,11.0,5.0,7.777777777777778,1.0,0.0,0.87,10.0,9.0,8.0,4.0,1019.0,7.0,16.0,0.0,2.0,1.0,8.0,2014/12/17,6.709312867777714,2,496,6938,7434,0.9749279121818236,-0.22252093395631434,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
