LOG FILE : Scraping Weather Data 
http://www.historique-meteo.net/amerique-du-nord/etats-unis/washington-dc/

Date : 2011/09/20 || Status : 200
Date : 2011/09/21 || Status : 200
Date : 2011/09/22 || Status : 200
Date : 2011/09/23 || Status : 200
Date : 2011/09/24 || Status : 200
Date : 2011/09/25 || Status : 200
Date : 2011/09/26 || Status : 200
Date : 2011/09/27 || Status : 200
Date : 2011/09/28 || Status : 200
Date : 2011/09/29 || Status : 200
Date : 2011/09/30 || Status : 200
Date : 2011/10/01 || Status : 200
Date : 2011/10/02 || Status : 200
Date : 2011/10/03 || Status : 200
Date : 2011/10/04 || Status : 200
Date : 2011/10/05 || Status : 200
Date : 2011/10/06 || Status : 200
Date : 2011/10/07 || Status : 200
Date : 2011/10/08 || Status : 200
Date : 2011/10/09 || Status : 200
Date : 2011/10/10 || Status : 200
Date : 2011/10/11 || Status : 200
Date : 2011/10/12 || Status : 200
Date : 2011/10/13 || Status : 200
Date : 2011/10/14 || Status : 200
Date : 2011/10/15 || Status : 200
Date : 2011/10/16 || Status : 200
Date : 2011/10/17 || Status : 200
Date : 2011/10/18 || Status : 200
Date : 2011/10/19 || Status : 200
Date : 2011/10/20 || Status : 200
Date : 2011/10/21 || Status : 200
Date : 2011/10/22 || Status : 200
Date : 2011/10/23 || Status : 200
Date : 2011/10/24 || Status : 200
Date : 2011/10/25 || Status : 200
Date : 2011/10/26 || Status : 200
Date : 2011/10/27 || Status : 200
Date : 2011/10/28 || Status : 200
Date : 2011/10/29 || Status : 200
Date : 2011/10/30 || Status : 200
Date : 2011/10/31 || Status : 200
Date : 2011/11/01 || Status : 200
Date : 2011/11/02 || Status : 200
Date : 2011/11/03 || Status : 200
Date : 2011/11/04 || Status : 200
Date : 2011/11/05 || Status : 200
Date : 2011/11/06 || Status : 200
Date : 2011/11/07 || Status : 200
Date : 2011/11/08 || Status : 200
Date : 2011/11/09 || Status : 200
Date : 2011/11/10 || Status : 200
Date : 2011/11/11 || Status : 200
Date : 2011/11/12 || Status : 200
Date : 2011/11/13 || Status : 200
Date : 2011/11/14 || Status : 200
Date : 2011/11/15 || Status : 200
Date : 2011/11/16 || Status : 200
Date : 2011/11/17 || Status : 200
Date : 2011/11/18 || Status : 200
Date : 2011/11/19 || Status : 200
Date : 2011/11/20 || Status : 200
Date : 2011/11/21 || Status : 200
Date : 2011/11/22 || Status : 200
Date : 2011/11/23 || Status : 200
Date : 2011/11/24 || Status : 200
Date : 2011/11/25 || Status : 200
Date : 2011/11/26 || Status : 200
Date : 2011/11/27 || Status : 200
Date : 2011/11/28 || Status : 200
Date : 2011/11/29 || Status : 200
Date : 2011/11/30 || Status : 200
Date : 2011/12/01 || Status : 200
Date : 2011/12/02 || Status : 200
Date : 2011/12/03 || Status : 200
Date : 2011/12/04 || Status : 200
Date : 2011/12/05 || Status : 200
Date : 2011/12/06 || Status : 200
Date : 2011/12/07 || Status : 200
Date : 2011/12/08 || Status : 200
Date : 2011/12/09 || Status : 200
Date : 2011/12/10 || Status : 200
Date : 2011/12/11 || Status : 200
Date : 2011/12/12 || Status : 200
Date : 2011/12/13 || Status : 200
Date : 2011/12/14 || Status : 200
Date : 2011/12/15 || Status : 200
Date : 2011/12/16 || Status : 200
Date : 2011/12/17 || Status : 200
Date : 2011/12/18 || Status : 200
Date : 2011/12/19 || Status : 200
Date : 2011/12/20 || Status : 200
Date : 2011/12/21 || Status : 200
Date : 2011/12/22 || Status : 200
Date : 2011/12/23 || Status : 200
Date : 2011/12/24 || Status : 200
Date : 2011/12/25 || Status : 200
Date : 2011/12/26 || Status : 200
Date : 2011/12/27 || Status : 200
Date : 2011/12/28 || Status : 200
Date : 2011/12/29 || Status : 200
Date : 2011/12/30 || Status : 200
Date : 2011/12/31 || Status : 200
Date : 2012/01/01 || Status : 200
Managed to write back up file
Date : 2012/01/02 || Status : 200
Date : 2012/01/03 || Status : 200
Date : 2012/01/04 || Status : 200
Date : 2012/01/05 || Status : 200
Date : 2012/01/06 || Status : 200
Date : 2012/01/07 || Status : 200
Date : 2012/01/08 || Status : 200
Date : 2012/01/09 || Status : 200
Date : 2012/01/10 || Status : 200
Date : 2012/01/11 || Status : 200
Date : 2012/01/12 || Status : 200
Date : 2012/01/13 || Status : 200
Date : 2012/01/14 || Status : 200
Date : 2012/01/15 || Status : 200
Date : 2012/01/16 || Status : 200
Date : 2012/01/17 || Status : 200
Date : 2012/01/18 || Status : 200
Date : 2012/01/19 || Status : 200
Date : 2012/01/20 || Status : 200
Date : 2012/01/21 || Status : 200
Date : 2012/01/22 || Status : 200
Date : 2012/01/23 || Status : 200
Date : 2012/01/24 || Status : 200
Date : 2012/01/25 || Status : 200
Date : 2012/01/26 || Status : 200
Date : 2012/01/27 || Status : 200
Date : 2012/01/28 || Status : 200
Date : 2012/01/29 || Status : 200
Date : 2012/01/30 || Status : 200
Date : 2012/01/31 || Status : 200
Date : 2012/02/01 || Status : 200
Date : 2012/02/02 || Status : 200
Date : 2012/02/03 || Status : 200
Date : 2012/02/04 || Status : 200
Date : 2012/02/05 || Status : 200
Date : 2012/02/06 || Status : 200
Date : 2012/02/07 || Status : 200
Date : 2012/02/08 || Status : 200
Date : 2012/02/09 || Status : 200
Date : 2012/02/10 || Status : 200
Date : 2012/02/11 || Status : 200
Date : 2012/02/12 || Status : 200
Date : 2012/02/13 || Status : 200
Date : 2012/02/14 || Status : 200
Date : 2012/02/15 || Status : 200
Date : 2012/02/16 || Status : 200
Date : 2012/02/17 || Status : 200
Date : 2012/02/18 || Status : 200
Date : 2012/02/19 || Status : 200
Date : 2012/02/20 || Status : 200
Date : 2012/02/21 || Status : 200
Date : 2012/02/22 || Status : 200
Date : 2012/02/23 || Status : 200
Date : 2012/02/24 || Status : 200
Date : 2012/02/25 || Status : 200
Date : 2012/02/26 || Status : 200
Date : 2012/02/27 || Status : 200
Date : 2012/02/28 || Status : 200
Date : 2012/02/29 || Status : 200
Date : 2012/03/01 || Status : 200
Date : 2012/03/02 || Status : 200
Date : 2012/03/03 || Status : 200
Date : 2012/03/04 || Status : 200
Date : 2012/03/05 || Status : 200
Date : 2012/03/06 || Status : 200
Date : 2012/03/07 || Status : 200
Date : 2012/03/08 || Status : 200
Date : 2012/03/09 || Status : 200
Date : 2012/03/10 || Status : 200
Date : 2012/03/11 || Status : 200
Date : 2012/03/12 || Status : 200
Date : 2012/03/13 || Status : 200
Date : 2012/03/14 || Status : 200
Date : 2012/03/15 || Status : 200
Date : 2012/03/16 || Status : 200
Date : 2012/03/17 || Status : 200
Date : 2012/03/18 || Status : 200
Date : 2012/03/19 || Status : 200
Date : 2012/03/20 || Status : 200
Date : 2012/03/21 || Status : 200
Date : 2012/03/22 || Status : 200
Date : 2012/03/23 || Status : 200
Date : 2012/03/24 || Status : 200
Date : 2012/03/25 || Status : 200
Date : 2012/03/26 || Status : 200
Date : 2012/03/27 || Status : 200
Date : 2012/03/28 || Status : 200
Date : 2012/03/29 || Status : 200
Date : 2012/03/30 || Status : 200
Date : 2012/03/31 || Status : 200
Date : 2012/04/01 || Status : 200
Date : 2012/04/02 || Status : 200
Date : 2012/04/03 || Status : 200
Date : 2012/04/04 || Status : 200
Date : 2012/04/05 || Status : 200
Date : 2012/04/06 || Status : 200
Date : 2012/04/07 || Status : 200
Date : 2012/04/08 || Status : 200
Date : 2012/04/09 || Status : 200
Date : 2012/04/10 || Status : 200
Date : 2012/04/11 || Status : 200
Date : 2012/04/12 || Status : 200
Date : 2012/04/13 || Status : 200
Date : 2012/04/14 || Status : 200
Date : 2012/04/15 || Status : 200
Date : 2012/04/16 || Status : 200
Date : 2012/04/17 || Status : 200
Date : 2012/04/18 || Status : 200
Date : 2012/04/19 || Status : 200
Date : 2012/04/20 || Status : 200
Date : 2012/04/21 || Status : 200
Date : 2012/04/22 || Status : 200
Date : 2012/04/23 || Status : 200
Date : 2012/04/24 || Status : 200
Date : 2012/04/25 || Status : 200
Date : 2012/04/26 || Status : 200
Date : 2012/04/27 || Status : 200
Date : 2012/04/28 || Status : 200
Date : 2012/04/29 || Status : 200
Date : 2012/04/30 || Status : 200
Date : 2012/05/01 || Status : 200
Date : 2012/05/02 || Status : 200
Date : 2012/05/03 || Status : 200
Date : 2012/05/04 || Status : 200
Date : 2012/05/05 || Status : 200
Date : 2012/05/06 || Status : 200
Date : 2012/05/07 || Status : 200
Date : 2012/05/08 || Status : 200
Date : 2012/05/09 || Status : 200
Date : 2012/05/10 || Status : 200
Date : 2012/05/11 || Status : 200
Date : 2012/05/12 || Status : 200
Date : 2012/05/13 || Status : 200
Date : 2012/05/14 || Status : 200
Date : 2012/05/15 || Status : 200
Date : 2012/05/16 || Status : 200
Date : 2012/05/17 || Status : 200
Date : 2012/05/18 || Status : 200
Date : 2012/05/19 || Status : 200
Date : 2012/05/20 || Status : 200
Date : 2012/05/21 || Status : 200
Date : 2012/05/22 || Status : 200
Date : 2012/05/23 || Status : 200
Date : 2012/05/24 || Status : 200
Date : 2012/05/25 || Status : 200
Date : 2012/05/26 || Status : 200
Date : 2012/05/27 || Status : 200
Date : 2012/05/28 || Status : 200
Date : 2012/05/29 || Status : 200
Date : 2012/05/30 || Status : 200
Date : 2012/05/31 || Status : 200
Date : 2012/06/01 || Status : 200
Date : 2012/06/02 || Status : 200
Date : 2012/06/03 || Status : 200
Date : 2012/06/04 || Status : 200
Date : 2012/06/05 || Status : 200
Date : 2012/06/06 || Status : 200
Date : 2012/06/07 || Status : 200
Date : 2012/06/08 || Status : 200
Date : 2012/06/09 || Status : 200
Date : 2012/06/10 || Status : 200
Date : 2012/06/11 || Status : 200
Date : 2012/06/12 || Status : 200
Date : 2012/06/13 || Status : 200
Date : 2012/06/14 || Status : 200
Date : 2012/06/15 || Status : 200
Date : 2012/06/16 || Status : 200
Date : 2012/06/17 || Status : 200
Date : 2012/06/18 || Status : 200
Date : 2012/06/19 || Status : 200
Date : 2012/06/20 || Status : 200
Date : 2012/06/21 || Status : 200
Date : 2012/06/22 || Status : 200
Date : 2012/06/23 || Status : 200
Date : 2012/06/24 || Status : 200
Date : 2012/06/25 || Status : 200
Date : 2012/06/26 || Status : 200
Date : 2012/06/27 || Status : 200
Date : 2012/06/28 || Status : 200
Date : 2012/06/29 || Status : 200
Date : 2012/06/30 || Status : 200
Date : 2012/07/01 || Status : 200
Date : 2012/07/02 || Status : 200
Date : 2012/07/03 || Status : 200
Date : 2012/07/04 || Status : 200
Date : 2012/07/05 || Status : 200
Date : 2012/07/06 || Status : 200
Date : 2012/07/07 || Status : 200
Date : 2012/07/08 || Status : 200
Date : 2012/07/09 || Status : 200
Date : 2012/07/10 || Status : 200
Date : 2012/07/11 || Status : 200
Date : 2012/07/12 || Status : 200
Date : 2012/07/13 || Status : 200
Date : 2012/07/14 || Status : 200
Date : 2012/07/15 || Status : 200
Date : 2012/07/16 || Status : 200
Date : 2012/07/17 || Status : 200
Date : 2012/07/18 || Status : 200
Date : 2012/07/19 || Status : 200
Date : 2012/07/20 || Status : 200
Date : 2012/07/21 || Status : 200
Date : 2012/07/22 || Status : 200
Date : 2012/07/23 || Status : 200
Date : 2012/07/24 || Status : 200
Date : 2012/07/25 || Status : 200
Date : 2012/07/26 || Status : 200
Date : 2012/07/27 || Status : 200
Date : 2012/07/28 || Status : 200
Date : 2012/07/29 || Status : 200
Date : 2012/07/30 || Status : 200
Date : 2012/07/31 || Status : 200
Date : 2012/08/01 || Status : 200
Date : 2012/08/02 || Status : 200
Date : 2012/08/03 || Status : 200
Date : 2012/08/04 || Status : 200
Date : 2012/08/05 || Status : 200
Date : 2012/08/06 || Status : 200
Date : 2012/08/07 || Status : 200
Date : 2012/08/08 || Status : 200
Date : 2012/08/09 || Status : 200
Date : 2012/08/10 || Status : 200
Date : 2012/08/11 || Status : 200
Date : 2012/08/12 || Status : 200
Date : 2012/08/13 || Status : 200
Date : 2012/08/14 || Status : 200
Date : 2012/08/15 || Status : 200
Date : 2012/08/16 || Status : 200
Date : 2012/08/17 || Status : 200
Date : 2012/08/18 || Status : 200
Date : 2012/08/19 || Status : 200
Date : 2012/08/20 || Status : 200
Date : 2012/08/21 || Status : 200
Date : 2012/08/22 || Status : 200
Date : 2012/08/23 || Status : 200
Date : 2012/08/24 || Status : 200
Date : 2012/08/25 || Status : 200
Date : 2012/08/26 || Status : 200
Date : 2012/08/27 || Status : 200
Date : 2012/08/28 || Status : 200
Date : 2012/08/29 || Status : 200
Date : 2012/08/30 || Status : 200
Date : 2012/08/31 || Status : 200
Date : 2012/09/01 || Status : 200
Date : 2012/09/02 || Status : 200
Date : 2012/09/03 || Status : 200
Date : 2012/09/04 || Status : 200
Date : 2012/09/05 || Status : 200
Date : 2012/09/06 || Status : 200
Date : 2012/09/07 || Status : 200
Date : 2012/09/08 || Status : 200
Date : 2012/09/09 || Status : 200
Date : 2012/09/10 || Status : 200
Date : 2012/09/11 || Status : 200
Date : 2012/09/12 || Status : 200
Date : 2012/09/13 || Status : 200
Date : 2012/09/14 || Status : 200
Date : 2012/09/15 || Status : 200
Date : 2012/09/16 || Status : 200
Date : 2012/09/17 || Status : 200
Date : 2012/09/18 || Status : 200
Date : 2012/09/19 || Status : 200
Date : 2012/09/20 || Status : 200
Date : 2012/09/21 || Status : 200
Date : 2012/09/22 || Status : 200
Date : 2012/09/23 || Status : 200
Date : 2012/09/24 || Status : 200
Date : 2012/09/25 || Status : 200
Date : 2012/09/26 || Status : 200
Date : 2012/09/27 || Status : 200
Date : 2012/09/28 || Status : 200
Date : 2012/09/29 || Status : 200
Date : 2012/09/30 || Status : 200
Date : 2012/10/01 || Status : 200
Date : 2012/10/02 || Status : 200
Date : 2012/10/03 || Status : 200
Date : 2012/10/04 || Status : 200
Date : 2012/10/05 || Status : 200
Date : 2012/10/06 || Status : 200
Date : 2012/10/07 || Status : 200
Date : 2012/10/08 || Status : 200
Date : 2012/10/09 || Status : 200
Date : 2012/10/10 || Status : 200
Date : 2012/10/11 || Status : 200
Date : 2012/10/12 || Status : 200
Date : 2012/10/13 || Status : 200
Date : 2012/10/14 || Status : 200
Date : 2012/10/15 || Status : 200
Date : 2012/10/16 || Status : 200
Date : 2012/10/17 || Status : 200
Date : 2012/10/18 || Status : 200
